LCP.50;Tilbeshar
LCP.50;LCP.65
LCP.65;LCP.60
LCP.60;LCP.3
LCP.3;LCP.5
LCP.5;Jerablus
Jerablus;Karkemish
Jerablus;Tell Jerablus Tahtani
Tell Jerablus Tahtani;Tell Qumluq
Tell Qumluq;Tell Ahmar
Tell Ahmar;Tell Amarna Cemetery
Tell Ahmar;SS.25
Tell Amarna Cemetery;Sheikh Hassan
Sheikh Hassan;El-Hajj
Sheikh Hassan;Tell Mumbaqat
Sheikh Hassan;SS.25
Sheikh Hassan;BS183
Sheikh Hassan;BS55
Sheikh Hassan;Tell Bi'a
Sheikh Hassan;BS1
Sheikh Hassan;BS265
Tell Mumbaqat;Tell Mureybet Ferry
Tell Mumbaqat;Tell Mureybet
Tell Mureybet;Kreyn
Tell Mureybet Ferry;Kreyn
Kreyn;BS99
BS99;Tell Bleibis
Tell Bleibis;BS96
BS96;BS55
BS55;BS1
BS55;Tell Bi'a
BS1;BS35
Tell Bi'a;BS35
BS35;BS183
BS183;Tell Ziyade
BS183;BS265
BS265;Tell Barabaira1
Tell Barabaira1;Tell Sha'ir
Tell Sha'ir;Karkemish
Tell Barabaira1;Ghazal
Tell Barabaira1;TBS.34
Karkemish;Tiladir Tepe
Karkemish;Kum Ocagi
Tiladir Tepe;Shadi Tepe
Kum Ocagi;Shadi Tepe
Shadi Tepe;Komecli Tepe
Komecli Tepe;Akarcay Hoyuk
Akarcay Hoyuk;Sheraga Hoyuk
Akarcay Hoyuk;Shavi Hoyuk
Shavi Hoyuk;Kirmizi Ok Tarlasi
Kirmizi Ok Tarlasi;Mezraa Hoyuk
Mezraa Hoyuk;Yarim Tepe
Yarim Tepe;Zeytin Bahceli Höyük
Yarim Tepe;Aktash Hoyuk
Zeytin Bahceli Höyük;Kefri Hoyuk
Aktash Hoyuk;Kefri Hoyuk
Kefri Hoyuk;Near Saray
Near Saray;Hacinebi
Hacinebi;Surtepe Hoyuk
Hacinebi;Horum Hoyuk
Horum Hoyuk;Hayaz Hoyuk
Duluk;Surtepe Hoyuk
Duluk;Horum Hoyuk
Hayaz Hoyuk;KHS.1
KHS.1;Kurban Hoyuk
Kurban Hoyuk;KHS.15
KHS.15;Samsat
KHS.15;Bayaz Kaya Mevkii
Bayaz Kaya Mevkii;KHS.39
KHS.39;KHS.44
KHS.44;Bozova Huyuk
KHS.39;Bozova Huyuk
Samsat;Gritille
Gritille;Karadut Mevkii
Samsat;Lidar Hoyuk
Karadut Mevkii;Torcik Mevkii
Lidar Hoyuk;Torcik Mevkii
Gritille;Lidar Hoyuk
Torcik Mevkii;TS30
Lidar Hoyuk;TS30
TS30;TS9
Torcik Mevkii;Grik Tepe
Grik Tepe;Tille Hoyuk
Tille Hoyuk;Toprakkale
Grik Tepe;Hassek Hoyuk
Hassek Hoyuk;Toprakkale
Arslantepe;Kenan Tepe
Kenan Tepe;Tell Ahmar South
Kenan Tepe;Tell Brak
Kenan Tepe;Qahtaniya
Arslantepe;Tell Ahmar South
Arslantepe;Tell Brak
Arslantepe;Qahtaniya
Tell Ahmar South;TBS.38
TBS.38;TBS.34
TBS.34;Ghazal
Tell Brak;Tell Ahmar South
Tell Brak;Qahtaniya
Tell Brak;Sharmouk
Tell Brak;Tell Mulla Matar
Tell Mulla Matar;Mashnaqa
Mashnaqa;Tell Fleti N
Mashnaqa;Ghazal
Mashnaqa;Tell Umm Qseir
Mashnaqa;Fadgami
Fadgami;Tell Fuhhar
Fadgami;Qraya
Fadgami;El-Kowm2
Tell Fuhhar;BS1
Tell Fuhhar;BS35
Tell Fuhhar;Qraya
Tell Fuhhar;El-Kowm2
Mashnaqa;Tell Ziyade
Mashnaqa;Tell Abu Maria
Tell Brak;Sultan el Tellul
Sultan el Tellul;Qahtaniya
Sultan el Tellul;Ghafqiya
Sultan el Tellul;Tell Hamoukar
Sultan el Tellul;Sharmouk
Sultan el Tellul;Tell Mulla Matar
Ghafqiya;Tell Hamoukar
Tell Hamoukar;Khirbat Barjis
Tell Hamoukar;NJP.160
NJP.160;Tell al-Dur
Tell al-Dur;Tell al-Hawa
Tell al-Hawa;NJP.16
NJP.16;NJP.26
NJP.26;Tell Abu Maria
NJP.26;NJP.60
NJP.26;NJP.119
NJP.60;NJP.19
NJP.19;NJP.84
NJP.19;Tell al-Hilwa
NJP.60;NJP.115
NJP.115;NJP.118
NJP.118;NJP.99
NJP.118;NJP.139
NJP.118;NJP.146
NJP.118;Khirbet Baguda
NJP.139;NJP.137
NJP.137;NJP.138
NJP.139;Khirbet Baguda
NJP.139;NJP.146
NJP.84;NJP.89
Tell al-Hilwa;NJP.89
NJP.89;NJP.75
NJP.84;NJP.143
Tell al-Hilwa;NJP.143
NJP.143;NJP.170
NJP.170;NJP.174
NJP.143;NJP.145
NJP.145;NJP.179
NJP.119;Tell Abu Maria
Tell Abu Maria;Nineveh
Nineveh;Kh. Karkush the first
Nineveh;Tell Mohammed Arab
Tell Mohammed Arab;Kh. Sulaiman
Kh. Karkush the first;Kh. Sulaiman
Kh. Sulaiman;EHS.A030
Kh. Sulaiman;EHS.B199
EHS.B199;EHS.B261
EHS.B261;T. Gray Lud
EHS.B261;Kh. Karkush the first
EHS.B199;EHS.B308
EHS.B199;Salal Cem.
EHS.B308;Salal Cem.
EHS.B308;EHS.B193
EHS.B308;T. Gray Lud
EHS.B193;LN.1049
T. Gray Lud;LN.1049
LN.1049;EHS.B134
T. Gray Lud;EHS.B193
EHS.B193;EHS.A027
EHS.A027;Rubai Kale
EHS.B308;EHS.B203
EHS.B308;EHS.B209
EHS.B203;EHS.B011
EHS.B011;EHS.B012
Salal Cem.;Bardiya 8
Salal Cem.;Abu Dhahir
Bardiya 8;Gir Matbakh
Abu Dhahir;Gir Matbakh
Gir Matbakh;EHS.B281
EHS.B281;EHS.A027
Gir Matbakh;EHS.A027
Gir Matbakh;EHS.B163
EHS.A027;Shelkiya Cem.
Shelkiya Cem.;Basorin Hoyuk
Basorin Hoyuk;Rubai Kale
Nineveh;Tell Kazna
Tell Kazna;Surezha
Tell Kazna;Girdi Gozka
Girdi Gozka;Gird Lashkir
Gird Lashkir;Bab-w-Kur
Gird Lashkir;Kamarian
Gird Lashkir;Araban
Araban;Bab-w-Kur
Araban;Tepe Badyamar Rabat
Bab-w-Kur;Tepe Badyamar Rabat
Kamarian;Tepe Badyamar Rabat
Tepe Badyamar Rabat;Tepe Molla Yousef
Tepe Molla Yousef;Tepe Baghi
Tepe Baghi;Tepe Waliv
Tepe Waliv;Tepe Goman
Tepe Goman;Tepe Lavin
Tepe Molla Yousef;Tepe Rasha
Tepe Molla Yousef;Ban Qala
Surezha;Yorgan Tepe
Surezha;Girdi Qala
Girdi Qala;Kani Shaie
Kani Shaie;Ban Qala
Ban Qala;Dwanza Imam
Dwanza Imam;Gurga Chiya
Dwanza Imam;Bark Awa
Tepe Sagzabad;Shakhi Kora
Shakhi Kora;Tepe Gabrestan
Shakhi Kora;Tell Hassan
Shakhi Kora;Tepe Saiyeh
Tepe Sialk;Arisman
Yorgan Tepe;Tell Rubeideh
Nineveh;Tell Rubeideh
Nineveh;Tulul Dhiba'i (B)
Tell Rubeideh;Tell Hassan
Tell Rubeideh;Tulul Dhiba'i (B)
Tulul Dhiba'i (B);Tell Hassan
Tulul Dhiba'i (B);Tepe Farukhabad
Qraya;Fadgami
Qraya;El-Kowm2
Qraya;Tell Ramadi
Tell Ramadi;KIS.098
Tell Ramadi;HOC.1375
Tell Ramadi;HOC.329
Tell Ramadi;HOC.1615
Tell Rubeideh;HOC.574
Nineveh;HOC.574
HOC.574;Tulul Dhiba'i (B)
Tulul Dhiba'i (B);Tepe Chakali
Tepe Farukhabad;S104
Tepe Chakali;S104
S104;Chagha Sefid
S104;S61
S104;Tepe Jelise
Chagha Sefid;Tepe Jelise
S61;Tepe Jelise
Tepe Jelise;Tell Imam Atuyi
Tell Imam Atuyi;KH286
Tell Imam Atuyi;Tepe Keihf
Tell Imam Atuyi;Susa
Tepe Keihf;Girsu
Tepe Keihf;Ur
Tepe Keihf;HOC.574
KH286;Tepe Suleiman
KH286;Susa
KH286;Tepe Keihf
KH286;Ur
KH286;Girsu
KH286;HOC.574
Tepe Suleiman;Ur
Tepe Suleiman;Girsu
Tepe Suleiman;HOC.574
Tell Imam Atuyi;KH22
Tell Imam Atuyi;Girsu
Tell Imam Atuyi;Ur
Tell Imam Atuyi;HOC.574
KH22;Tepe Mohammed Agha
KH22;Susa
KH22;KH015
KH22;Tepe Galeh Bongoon
KH22;Tepe Jardari
KH22;KH288
