Jerablus;Karkemish
Jerablus;Tell Jerablus Tahtani
Karkemish;Tiladir Tepe
Karkemish;Kum Ocagi
Tiladir Tepe;Shadi Tepe
Kum Ocagi;Shadi Tepe
Shadi Tepe;Komecli Tepe
Komecli Tepe;Akarcay Hoyuk
Akarcay Hoyuk;Sheraga Höyük
Sheraga Höyük;Shavi Höyük
Sheraga Höyük;Kirmizi Ok Tarlasi
Shavi Höyük;Mezra Hoyuk
Kirmizi Ok Tarlasi;Mezra Hoyuk
Mezra Hoyuk;Yarim Tepe
Yarim Tepe;Aktash Höyük
Yarim Tepe;Zeytin Bahceli Höyük
Aktash Höyük;Kefri Höyük
Zeytin Bahceli Höyük;Kefri Höyük
Kefri Höyük;Near Saray
Near Saray;Surtepe Höyük
Near Saray;Kabir Höyük
Near Saray;Tell Sha'ir
Surtepe Höyük;Tilbes Höyük
Surtepe Höyük;Duluk
Tilbes Höyük;Horum Höyük
Horum Höyük;Hayaz Höyük
Hayaz Höyük;KHS.1
KHS.1;Kurban Höyük
Kurban Höyük;KHS.15
KHS.15;Bayaz Kaya Mevkii
KHS.15;Samsat
Bayaz Kaya Mevkii;KHS.39
Bayaz Kaya Mevkii;Bozova Huyuk
KHS.39;KHS.44
KHS.44;Bozova Huyuk
Bayaz Kaya Mevkii;Samsat
Samsat;Gritille
Gritille;Karadut Mevkii
Karadut Mevkii;Torcik Mevkii
Karadut Mevkii;Lidar Höyük
Lidar Höyük;Torcik Mevkii
Torcik Mevkii;Grik Tepe
Lidar Höyük;Grik Tepe
Lidar Höyük;TS.30
Torcik Mevkii;TS.30
Karadut Mevkii;Grik Tepe
TS.30;TS.29
Grik Tepe;Tille Höyük
Grik Tepe;Hassek Höyük
Tille Höyük;Toprakkale
Hassek Höyük;Toprakkale
Toprakkale;Arslantepe
Toprakkale;Değirmentepe
Değirmentepe;Tepecik
Değirmentepe;Tell Ahmar South
Değirmentepe;Toprakkale
Değirmentepe;Arslantepe
Toprakkale;Tell Ahmar South
Karkemish;Tell Jerablus Tahtani
Karkemish;Tell Shiukh Fawqani
Tell Jerablus Tahtani;Tell Qumluq
Tell Shiukh Fawqani;Tell Qumluq
Tell Qumluq;Tell Ahmar 
Tell Ahmar ;Tell Amarna Cemetery
Tell Hadidi;Jebel Aruda
Tell Hadidi;Tell Hadji Ibrahim
Tell Hadji Ibrahim;Tell Amarna Cemetery
Tell Hadji Ibrahim;Tell Ahmar
Jebel Aruda;El-Hajj
Jebel Aruda;Sheikh Hassan
Sheikh Hassan;Habuba Kabira+Tell Qannas
