site;lat;long
Abu 'Obayyah al-saghir;33.3102589;44.617019
Abu Boga;31.7607986;45.5165533
Abu Bott;31.6183439;45.7658126
Abu Chizan;31.66551;49.167924
Abu Dhaba;33.17624;44.206882
Abu Dhahir;36.837031;42.493505
Abu Fanduweh;32.094284;48.316373
Abu Farah;36.533279;41.372777
Abu Ghara;45.4629561;31.8648861
Abu Howansiduh;31.7749479;45.3810955
Abu Ilba;31.4776078;45.7365472
Abu Jarabie;31.686468;45.858781
Abu Rasain;33.3273372;45.0649302
Abu Salabikh;32.252253;45.053296
Ahmad al-Hattu;34.34846;45.002768
Akarcay Hoyuk;36.9168135;38.016355
AKK.221;31.5129;45.76967
AKK.259;31.48976;45.72824
AKK.261;31.4709;45.72081
AKK.264;31.45976;45.72281
Aktash Höyük;36.994108;37.958234
Aktash Hoyuk;36.994108;37.958234
al-‘Abuda;36.854966;41.983686
al-'Asayla;36.833218;36.833218
al-Andalus;36.372488;41.365231
al-Botha;36.72214;42.25251
al-Madina;36.729556;40.621749
al-Masiha;36.837318;41.99208
Aliabad;32.541145;47.334321
Almalik Tepe;37.4831977;38.3331552
Altin Tepe;38.614059;39.52221
Aq Tepe;34.1679217;45.1034687
Arbat;36.992101;41.305443
Arikok Hoyuk;37.409272;38.440604
Arisman;33.651773;51.976623
Arslantepe;38.381894;38.36103
Asagi Hamili Harabesi;37.742153;38.678008
Awena;36.34025;43.414651
Bab-w-Kur;36.16341;44.89781
Bahceler Mevkii Kortepe;38.637061;39.465733
Bark Awa;35.221501;45.940183
Bakr Awa;35.221501;45.940183
Ban Qala;35.36713881;45.38792871
Bardiya 8;36.818206;42.491592
Basmusian;36.161574;44.924287
Basorin Höyük;37.151794;42.344294
Basorin Hoyuk;37.151794;42.344294
Başur Höyük;37.97998;41.77896
Bayaz Kaya Mevkii;37.456178;38.488434
Bayazeh Kabira;36.971226;41.553169
Beyaz Kaya Mevkii;37.456178;38.488434
BIAA 30;37.5344013;38.3317795
BIAA 47;37.602583;38.2654464
BIAA 59;37.64294202;38.24771553
Birecik Hoyuk;37.483399;38.400178
BKS124;36.714315;41.083139
BKS76;36.650207;41.126625
Boy Tepe;38.607275;39.530927
Bozova Huyuk;37.35833;38.53033
Boztarla;37.49486;38.421316
BS1;35.94133;39.05367
BS183;36.211669;38.987787
BS265;36.31951;39.003838
BS35;36.082777;39.063284
BS55;35.944899;38.982639
BS96;35.930087;38.80991
BS99;35.871642;38.732053
Bugga Ishan;32.130381;48.440314
Burj Bazazi;32.06761;48.69926
Caferkoy Harabesi;38.406293;38.717663
Cakiltepe;38.583279;39.366716
Catal Höyük;36.297652;36.545391
Çatal Höyük;36.297652;36.545391
Cattepe;37.7166681;41.7833384
Cavi Tarlasi;37.750702;38.9647
Cay Boyu;38.886665;38.951264
Chagar Bazar;36.875593;40.897709
Chagha Sefid;32.572607;47.32133
Chebab al-Nar;32.6184391;44.8294025
Chogha Kabira;32.199409;48.523609
Chogha Mish;32.2231149;48.554634
Choga Mish;32.2231149;48.554634
Chogha Chanbar;31.957565;48.947259
Chogha Pahn;32.229088;48.613231
Chogha Pahwandeh;32.184568;48.684929
Choukhrech Faouqani;36.951433;40.79527
Choukhrech Tahtani;36.937499;40.80001
Coba Hoyuk;37.201279;36.905854
Cumcume Hoyuk;37.483697;38.447553
Dava Goz;38.490278;45.032222
Degirmen Tepe;38.472975;38.457533
Değirmentepe;38.450684;38.458645
Demirtepe;37.620408;38.660228
DL43;32.506291;47.443306
DL61;32.544944;47.340921
Dogir / Dougird;37.03489;41.494511
Dowayhis;32.05994;45.52072
Duluk;37.15;37.366667
Dutderesi Mevkii;37.600685;38.393109
Dwanza Imam;35.254477;45.922766
Ebadat;31.565609;49.197051
EHS.A006;37.00992;42.41869
EHS.A025;36.84611;42.54136
EHS.A027;36.98554;42.49945
EHS.A030;36.76534;42.71736
EHS.B011;36.9162;42.73031
EHS.B012;36.92458;42.73336
EHS.B013;36.92154;42.72574
EHS.B028;36.94287;42.72955
EHS.B055;36.87277;42.73184
EHS.B134;36.92839;42.83775
EHS.B147;36.99087;42.72727
EHS.B151;37.00459;42.56498
EHS.B163;37.04649;42.54745
EHS.B193;36.82706;42.69908
EHS.B199;36.78744;42.72422
EHS.B203;36.88801;42.69831
EHS.B205;36.85144;42.66936
EHS.B209;36.88496;42.62441
EHS.B223;36.92535;42.52536
EHS.B259;36.80344;42.6945
EHS.B261;36.80496;42.74174
EHS.B269;36.83315;42.5825
EHS.B281;36.9543;42.60688
EHS.B290;36.92687;42.52536
EHS.B299;36.98706;42.53145
EHS.B308;36.80953;42.69222
EHS.B310;37.05182;42.62288
EHS.C064;37.07392;43.01527
EHS.C085;37.13335;42.68384
EHS.C096;37.17602;42.60612
EHS.C104;37.13792;42.59241
EHS.C108;37.17145;42.81946
EHS.C114;37.15164;42.71584
El-Hajj;36.19494;38.07699
El-Kowm2;35.192029;38.858099
Eridu;30.8168556;45.9963265
Fadgami;35.911859;40.870738
Fatmali-Kalecik;38.8499856;38.9333189
Gavurtepe;37.57203;38.280013
Ghafqiya;37.030092;41.882058
Ghazal;36.492215;40.393086
Gir Dahul;36.799695;40.64698
Gir e-Gomel;36.592365;43.481194
Gir Matbakh;36.873932;42.514232
Gir Zil Saghir;36.782383;41.050892
Gird i-Ashoan;36.666314;45.224499
Gird Lashkir;36.181885;44.132154
Gird-i Qulkhurd;35.301591;45.927479
Gird-i Saraw;35.324518;45.832614
Gird-i Shatwan;35.299678;45.8502
Girda Resh;35.384542;45.606107
Girdi Gozka;36.068276;43.964751
Girdi Qala;35.516417;44.883592
Girki Agni;37.6356119;38.7670553
Girsu;31.558474;46.177579
Godin Tepe;34.518418;48.068398
Goktepe;38.933701;39.59977
Grai Resh;36.318135;41.919068
Gre Gavuran;36.648489;38.042727
Gre Kustian;36.767761;38.085236
Gre Migro;37.990998;41.157227
Grik Tepe;37.712144;38.882493
Gritille;37.566259;38.570432
GRSS.31;37.553289;38.548113
GRSS.32;37.563345;38.515223
GRSS.6;37.579622;38.589203
Guir Hissar;36.940272;40.881456
Guir Khaled;36.9996761;40.9308821
Gulusanbaba Tepesi;38.641495;39.473649
Gurga Chiya;35.213496;45.921196
Habuba Kabira+Tell Qannas;36.150164;38.060824
Hacinebi;37.0596;37.975217
Haft Tepe;32.080566;48.328083
Hallan Harabesi;37.692045;38.704596
Hama;35.135899;36.749498
Hammam et-Turkman;36.482535;39.056983
Hanibrahimshah;38.844714;39.074404
Harabe 1;36.901693;38.026587
Haroglu Tarlasi;38.492312;38.472854
Hassek Höyük;37.747943;38.921802
Hassek Hoyuk;37.747943;38.921802
Hayaz Höyük;37.490584;38.344418
Hayaz Hoyuk;37.490584;38.344418
Hayyad al-'Awi;32.00622;45.70258
Hirbik Mevkii;37.712842;38.918434
HOC.1019;32.2097934;45.3685424
HOC.1020;32.1985216;45.3542761
HOC.1024;32.1942464;45.3247453
HOC.1031;32.1856421;45.3323913
HOC.1034;32.1775503;45.3445649
HOC.1046;32.1628469;45.341722
HOC.1069;32.1357366;45.3756056
HOC.1070;32.1234056;45.4008085
HOC.1072;32.1780504;45.4169052
HOC.1100;32.2073674;45.4725799
HOC.1112;32.1780504;45.4169052
HOC.1113;32.2064021;45.4027021
HOC.1114;32.2073674;45.4725799
HOC.1115;32.2106793;45.5110012
HOC.1118;32.1793944;45.5016462
HOC.1124;32.1200799;45.4169052
HOC.1129;32.0987215;45.4027021
HOC.1131;32.1561531;45.4475105
HOC.1137;32.1458639;45.4725799
HOC.1154;32.1624581;45.5126523
HOC.1159;32.1487995;45.5359952
HOC.1163;32.1678612;45.5739821
HOC.1164;32.1496863;45.6181584
HOC.1165;32.15209;45.62468
HOC.1166;32.14169;45.6307
HOC.1169;32.1521566;45.4242428
HOC.1170;32.1521566;45.4242428
HOC.1172;32.0908715;45.4242428
HOC.1174;32.100628;45.4492668
HOC.1178;32.0930841;45.4546921
HOC.1180;32.08737;45.47658
HOC.1194;32.1181223;45.5580277
HOC.1195;32.1240163;45.5621229
HOC.1196;32.1056919;45.6305317
HOC.1197;32.1167345;45.486872
HOC.1198;32.1204763;45.6316436
HOC.1199;32.1081065;45.6481924
HOC.1205;32.1093;45.62446
HOC.1208;32.0895469;45.6481924
HOC.1210;32.0576588;45.6321197
HOC.1216;32.0391989;45.7010583
HOC.1230;32.0528;45.40901
HOC.1247;32.0238392;45.486872
HOC.1261;32.0665503;45.6316436
HOC.1271;32.0895469;45.6481924
HOC.1278;32.0576588;45.6321197
HOC.1284;32.0391989;45.7010583
HOC.1294;32.046983;45.5929117
HOC.1304;32.046983;45.5929117
HOC.1312;32.0123987;45.5929117
HOC.1315;32.0026445;45.651889
HOC.1316;32.0050678;45.6653015
HOC.1353;31.93197;45.42574
HOC.1355;31.9234079;45.4254282
HOC.1375;31.8047929;45.2821484
HOC.1394;31.7792925;45.4502763
HOC.1416;31.9454061;45.5691123
HOC.1428;31.9827988;45.6517342
HOC.1432;31.9464479;45.7868164
HOC.1434;31.9464479;45.7868164
HOC.1437;31.9464479;45.7868164
HOC.1440;31.9371124;45.6968121
HOC.1448;31.9220254;45.6289976
HOC.1451;31.8701948;45.7272713
HOC.1460;31.8571714;45.7868164
HOC.1465;31.8701948;45.7272713
HOC.1471;31.8571714;45.7868164
HOC.1615;31.4880868;45.3912259
HOC.539;32.4109984;45.1327107
HOC.573;32.4431126;45.1470314
HOC.574;32.4392607;45.1451899
HOC.655;32.3463629;45.0696915
HOC.667;32.3716655;45.1819287
HOC.677;32.3522295;45.2051388
HOC.678;32.343762;45.2044206
HOC.722;32.3014442;45.1622023
HOC.737;32.3295515;45.2229783
HOC.738;32.3168553;45.204018
HOC.740;32.3109967;45.2575884
HOC.743;32.2484173;45.204018
HOC.744;32.3071461;45.2575884
HOC.745;32.3211237;45.2458707
HOC.765;32.2484173;45.204018
HOC.781;32.3071461;45.2575884
HOC.782;32.3053946;45.2903637
HOC.786;32.291066;45.2718131
HOC.790;32.2801371;45.2411881
HOC.792;32.275505;45.2676607
HOC.793;32.2721482;45.2891103
HOC.804;32.2638025;45.2689177
HOC.805;32.2656628;45.2793857
HOC.824;32.3045764;45.3232707
HOC.829;32.2952349;45.3792905
HOC.831;32.2866342;45.3746974
HOC.832;32.2826327;45.3760536
HOC.835;32.2836521;45.323606
HOC.837;32.2723231;45.3173387
HOC.838;32.2701497;45.3187151
HOC.845;32.2494791;45.3243885
HOC.912;32.224657;45.1941893
HOC.935;32.2233659;45.2384878
HOC.936;32.2202367;45.2355353
HOC.937;32.2178539;45.231627
HOC.939;32.2172636;45.2534466
HOC.940;32.2227663;45.2805244
HOC.952;32.1787395;45.2122388
HOC.964;32.178357;45.2384853
HOC.975;32.19449;45.3044315
HOC.976;32.1958606;45.3100731
HOC.977;32.1903943;45.3131753
HOC.980;32.1839696;45.2777787
HOC.981;32.184158;45.2838361
HOC.982;32.1720543;45.2993982
Horum Höyük;37.10038;37.86661
Horum Hoyuk;37.10038;37.86661
Imamoglu Hoyuk;38.47561;38.442796
Imikusagi;38.506598;38.439455
Ishan Abu Diyyayyat;32.161577;48.492286
Ishan Abu Hayan;31.9714008;45.3748414
Ishan Abu Jasib;32.3089061;44.9929979
Ishan Abu Sharr Galleh;31.1568961;49.6034709
Ishan al Mhammar;31.6754315;45.6500932
Ishan al Yamalah;31.2362666;49.4502793
Ishan Bayt;31.755881;45.335746
Ishan Jokha;31.9626671;45.3722837
Ishan Rud;32.136521;48.296612
Ishan Slay' al-Jamir;32.7923979;44.561601
Ivik Tepe;38.76668;38.94969
JAA.06;36.61952783;39.84744328
Jebel Aruda;36.234305;38.098659
