lat;long
31.6655;49.1679
45.4630;31.8649
36.7221;42.2525
36.7296;40.6217
37.4832;38.3332
38.6141;39.5222
37.7422;38.6780
38.6371;39.4657
36.1616;44.9243
36.9712;41.5532
37.4562;38.4884
37.5344;38.3318
37.6026;38.2654
37.6429;38.2477
38.6073;39.5309
37.4949;38.4213
38.4063;38.7177
38.5833;39.3667
37.7167;41.7833
37.7507;38.9647
32.6184;44.8294
32.6071;44.8454
31.9576;48.9473
36.9514;40.7953
36.9375;40.8000
37.4837;38.4476
38.4730;38.4575
37.6204;38.6602
37.6007;38.3931
31.565609;49.1971
38.8500;38.9333
37.5720;38.2800
36.7824;41.0509
37.6356;38.7671
37.9910;41.1572
37.5533;38.5481
37.5633;38.5152
37.5796;38.5892
36.9403;40.8815
36.9997;40.9309
38.6415;39.4736
37.6920;38.7046
38.8447;39.0744
36.9017;38.0266
38.4923;38.4729
37.7128;38.9184
32.1357;45.3756
32.3464;45.0697
32.3717;45.1819
32.3438;45.2044
32.3296;45.2230
32.3169;45.2040
32.3211;45.2459
32.3054;45.2904
32.2701;45.3187
32.2179;45.2316
38.4756;38.4428
38.5066;38.4395
32.3089;44.9930
32.7924;44.5616
38.7667;38.9497
36.7253;41.1207
32.6318;44.6041
35.8167;36.5833
38.8592;38.9300
38.9233;38.7489
37.2439;37.8626
36.0919;44.9400
38.6557;38.3768
37.4767;38.3674
38.6023;39.3903
37.6964;38.8214
36.6774;42.2612
36.9491;41.3349
36.4041;38.1907
37.4867;38.4312
37.4651;38.4411
37.4826;38.4560
37.4536;38.4885
37.4482;38.4815
38.6395;39.4964
38.4805;38.5047
32.6921;44.5833
32.6363;44.8192
37.1011;37.8760
38.6065;39.4168
38.6425;39.5207
38.6402;39.5190
38.6197;39.3886
38.6040;39.4351
32.7606;44.6115
33.1953;44.7188
32.8340;45.3440
32.7100;44.7767
37.7635;38.9553
36.0998;37.8646
38.6503;39.4473
32.0915;44.7848
30.8627;46.1572
37.5869;38.6167
38.6146;39.4704
37.5864;38.6301
36.3687;36.2373
38.4608;38.4703
38.4134;38.6994
38.9008;38.8555
35.2511;36.2332
36.1229;44.9306
37.0026;40.7899
31.5519;49.2425
37.4866;38.4780
37.4839;38.4729
38.6200;39.4376
38.5517;38.3453
38.5717;38.3678
37.4880;38.6117
32.5876;44.8826
36.2007;44.9383
33.0593;44.2545
36.7006;41.1319
37.5999;38.6167
37.6305;38.3502
36.9200;40.8036
38.8556;38.9577
37.3936;38.6236
36.6792;40.6433
36.7506;40.6028
36.7523;40.6368
36.7659;40.6076
36.6943;40.5786
36.7641;40.6122
36.7813;40.6299
36.8001;40.6463
36.8229;40.6587
36.7103;40.5973
36.7976;40.5221
36.7866;40.5066
36.8296;40.5158
36.8437;40.5386
36.7659;40.4910
36.7589;40.4782
36.7687;40.4635
36.7186;40.4487
36.8150;40.4800
36.6930;40.6647
36.6959;40.6064
36.7287;40.6250
36.8591;40.1408
37.0035;40.4023
36.5860;37.0447
32.4241;44.9161
32.8990;45.3068
36.7673;42.2092
32.7665;44.7064
33.3303;44.9455
32.5754;45.0188
33.3390;44.8743
36.7432;41.0630
36.2741;36.2610
32.7490;44.7684
36.9383;41.7865
36.7987;40.3445
36.2323;38.1385
36.1229;41.5250
36.8723;41.0211
36.6762;40.3935
36.6589;41.0880
36.7817;40.8264
36.7759;40.2786
36.9988;40.7376
36.5588;38.9173
36.7380;40.5871
36.9423;40.9734
36.9363;40.4587
35.8028;36.7364
36.8891;40.6114
45.5103;32.0614
36.8453;40.4572
45.5971;31.9895
36.0701;44.9607
36.7773;40.6982
36.7841;40.9299
36.7679;40.7769
36.8224;40.6586
36.8224;40.6585
36.7860;40.5067
36.8284;41.1147
36.5937;39.5598
36.8505;40.6346
36.7729;40.5613
36.9094;40.3619
32.8136;44.5919
36.6831;40.6064
36.7964;40.1906
36.9064;40.7887
36.6369;40.6414
37.0331;40.6211
36.2862;36.3071
35.4930;36.2758
36.2653;40.5014
36.7810;40.6298
32.5358;44.9046
31.0177;45.7801
36.6609;42.2265
36.3295;36.4455
36.6816;42.1440
35.7989;36.7983
36.4889;40.3239
36.3269;36.3269
36.0663;38.0917
36.0677;38.0917
36.6831;40.8874
36.6024;38.2301
35.7420;36.3305
37.0203;40.6969
37.0203;40.6969
36.7717;41.1353
36.7689;40.6049
36.7658;40.4914
31.0124;45.9522
45.5017;31.8377
36.6922;40.9555
36.7861;41.1398
35.3836;40.4425
36.7462;42.2008
36.8234;40.7854
36.6919;42.3446
36.7117;41.0299
35.2946;47.0241
32.6654;47.2538
37.5094;38.5732
33.4083;45.0731
36.8173;41.6521
32.6485;44.8517
30.9223;45.9780
30.9823;45.7831
30.7873;46.3278
30.9192;45.9800
30.9214;45.9829
30.9249;45.9743
36.7008;41.1015
38.6357;39.4588
37.4835;38.4170
